epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,97.330857894285,97.41868604443913,0.15,138,272,407,540,675,809,943,1077,1211,1345,1479,1611,1745,1879,2015,2147,2281,2417,2549,2683,2817,2951,3085,3219,3353,3487,3622,3756,3890,4024
1,0,0,86.76946996477938,86.79573159687924,0.17,138,273,407,540,675,809,944,1078,1212,1346,1480,1610,1745,1878,2016,2146,2281,2418,2548,2682,2816,2950,3084,3219,3353,3487,3621,3755,3889,4024
2,0,0,80.76298149330236,80.76234969901662,0.2,139,273,407,540,676,810,944,1078,1213,1347,1481,1610,1744,1877,2017,2145,2282,2419,2547,2682,2816,2949,3084,3218,3352,3486,3621,3755,3889,4024
3,0,0,79.14388412588335,79.13882185754348,0.22,139,273,408,540,676,811,945,1079,1214,1348,1482,1610,1744,1876,2018,2145,2282,2420,2547,2681,2815,2949,3083,3217,3351,3486,3620,3755,3889,4023
4,0,0,80.76199299001202,80.7781188948313,0.24,139,273,408,540,677,811,946,1080,1214,1348,1482,1609,1744,1876,2018,2144,2283,2421,2546,2680,2815,2948,3083,3217,3351,3486,3620,3754,3889,4023
5,0,0,83.1106631198353,83.14844300537894,0.26,139,274,408,541,677,812,946,1081,1215,1349,1483,1609,1744,1875,2019,2144,2283,2421,2546,2679,2814,2948,3082,3216,3350,3485,3619,3754,3888,4023
6,0,0,84.34949556662298,84.39210474771915,0.28,139,274,409,541,678,813,947,1081,1216,1349,1483,1610,1744,1875,2019,2144,2283,2421,2545,2679,2814,2947,3081,3215,3350,3485,3619,3754,3888,4023
7,0,0,84.18501179507847,84.22502005880587,0.3,139,274,409,542,678,813,948,1082,1217,1350,1484,1610,1743,1874,2020,2144,2282,2421,2545,2678,2813,2947,3081,3215,3349,3484,3618,3754,3888,4023
8,0,0,83.12452126271916,83.15572446752388,0.31,139,274,409,542,679,814,948,1082,1218,1350,1484,1610,1743,1874,2021,2144,2282,2420,2544,2677,2812,2947,3081,3215,3348,3484,3618,3753,3888,4023
9,0,0,81.57319134908846,81.59431252199812,0.33,140,275,409,542,679,814,949,1083,1219,1350,1484,1611,1743,1873,2021,2144,2282,2420,2544,2677,2811,2947,3080,3215,3348,3484,3618,3753,3888,4022
