epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,93.82967968112489,93.83910869308436,0.14,0.001,202,399,597,796,992,1190,1388,1588,1785,1983,2179,2377,2577,2772,2970,3168,3366,3564,3763,3960
1,0,0,85.72125064708284,85.70131179713646,0.16,0.001,202,399,597,797,992,1189,1387,1588,1786,1984,2178,2376,2578,2772,2970,3167,3365,3564,3763,3961
2,0,0,82.00635336476985,81.99443816884776,0.18,0.001,203,400,596,797,991,1189,1387,1589,1787,1985,2178,2375,2577,2771,2969,3167,3365,3563,3763,3961
3,0,0,81.42960617440532,81.45547635921264,0.19,0.001,203,400,596,798,991,1190,1387,1590,1788,1985,2177,2374,2577,2770,2968,3166,3364,3563,3764,3960
4,0,0,82.32451150971076,82.35757414792674,0.21,0.001,203,400,596,799,991,1190,1387,1591,1789,1986,2177,2373,2576,2769,2968,3166,3363,3562,3764,3960
5,0,0,82.97621494195641,82.98922769891584,0.23,0.001,203,400,596,799,990,1190,1388,1591,1790,1986,2177,2373,2576,2768,2967,3165,3363,3562,3764,3960
6,0,0,82.88228486553233,82.89136280303123,0.24,0.001,203,401,596,800,990,1191,1388,1591,1790,1987,2176,2373,2575,2767,2967,3164,3362,3562,3764,3960
7,0,0,81.85085521850093,81.84980826661264,0.26,0.001,204,401,596,800,991,1191,1389,1591,1790,1987,2176,2372,2574,2766,2967,3164,3361,3562,3764,3960
8,0,0,80.44781281015352,80.43329012390485,0.28,0.001,204,401,596,801,991,1192,1390,1591,1790,1988,2176,2372,2573,2765,2967,3163,3361,3562,3764,3960
9,0,0,79.15424210343214,79.12272286415262,0.29,0.001,204,401,596,802,991,1193,1390,1590,1790,1989,2176,2373,2572,2764,2967,3162,3360,3562,3764,3959
10,0,0,78.15648428093634,78.11408361232787,0.31,0.001,204,402,596,802,991,1193,1391,1590,1789,1989,2176,2373,2571,2763,2967,3162,3359,3562,3763,3959
11,0,0,77.41781806979256,77.36780244694009,0.32,0.001,204,402,596,803,992,1194,1392,1589,1789,1990,2175,2373,2570,2762,2967,3161,3359,3562,3763,3959
12,0,0,76.86931508451535,76.81696233986996,0.34,0.001,205,402,596,803,992,1195,1393,1589,1789,1990,2175,2372,2569,2762,2968,3160,3358,3562,3763,3959
