epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.11167329237441272,0.10617551462621885,0.010692329153091928,0.013232065892085587,0.01,0.001,18,36,54,72,90,108,126,144,162,180
1,0.2420190338513432,0.2221018418201517,6.202959454926216e-05,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
2,0.2420190338513432,0.2221018418201517,0.0,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
3,0.2420190338513432,0.2221018418201517,0.0,0.0,0.03,0.001,18,36,54,72,90,108,126,144,162,180
4,0.2420190338513432,0.2221018418201517,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
5,0.2420190338513432,0.2221018418201517,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
6,0.2420190338513432,0.2221018418201517,0.0,0.0,0.05,0.001,18,36,54,72,90,108,126,144,162,180
7,0.2420190338513432,0.2221018418201517,0.0,0.0,0.06,0.001,18,36,54,72,90,108,126,144,162,180
8,0.2420190338513432,0.2221018418201517,0.0,0.0,0.06,0.001,18,36,54,72,91,108,126,144,162,180
9,0.2420190338513432,0.2221018418201517,0.0,0.0,0.07,0.001,18,36,55,72,91,109,126,144,162,180
10,0.2420190338513432,0.2221018418201517,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,144,162,180
11,0.2420190338513432,0.2221018418201517,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,145,162,180
12,0.2420190338513432,0.2221018418201517,0.0,0.0,0.09,0.001,18,36,55,72,91,109,125,145,162,180
13,0.2420190338513432,0.2221018418201517,0.0,0.0,0.1,0.001,18,36,55,72,91,109,125,145,162,180
14,0.2420190338513432,0.2221018418201517,0.0,0.0,0.1,0.001,18,36,55,71,91,109,125,145,162,180
15,0.2420190338513432,0.2221018418201517,0.0,0.0,0.11,0.001,18,36,55,71,91,108,125,145,162,180
16,0.2420190338513432,0.2221018418201517,0.0,0.0,0.11,0.001,18,36,55,71,91,108,125,145,162,180
17,0.2420190338513432,0.2221018418201517,0.0,0.0,0.12,0.001,18,36,55,71,91,108,125,145,161,180
18,0.2420190338513432,0.2221018418201517,0.0,0.0,0.13,0.001,18,36,55,71,91,108,125,145,161,180
19,0.2420190338513432,0.2221018418201517,0.0,0.0,0.13,0.001,19,36,55,71,91,108,125,145,161,180
20,0.2420190338513432,0.2221018418201517,0.0,0.0,0.14,0.001,19,36,55,71,91,108,125,145,161,180
