dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,bsdr,5.32,0.6556195965417867,0.5194871849751879,20-49-71-92-108||19-42-62-91-109||19-43-62-91-108||19-42-62-91-108||19-43-62-90-108||19-43-62-90-108||19-42-62-90-108||19-43-62-91-109||19-43-62-90-109||19-43-62-90-108
ghisaconus,10,bsdr,5.22,0.6772334293948127,0.5489313596497566,18-23-38-47-58-77-89-91-107-117||18-23-37-47-58-77-89-91-108-117||18-23-38-47-57-77-90-92-107-117||18-23-37-47-58-76-90-92-108-117||18-23-37-47-57-77-89-91-107-117||19-23-37-47-58-77-89-91-107-117||18-23-37-47-57-77-89-91-107-117||18-23-37-47-58-77-89-91-107-117||19-23-38-47-58-77-90-92-107-117||17-23-34-47-58-77-89-91-107-117
ghisaconus,15,bsdr,5.19,0.714121037463977,0.6003820782984028,12-18-25-28-44-47-62-63-71-89-91-106-110-117||12-18-25-28-44-47-62-63-71-86-90-91-107-114-118||12-16-25-28-32-46-62-71-87-90-91-107-116-118||12-17-25-28-44-47-62-70-89-91-107-111-118||12-17-25-28-44-47-62-64-71-89-90-91-106-111-118||12-16-25-28-32-45-62-71-89-91-92-106-110-117||12-16-25-28-32-44-62-63-71-87-90-91-107-117-121||12-16-25-28-40-47-62-63-71-89-91-106-111-118||12-16-25-28-44-47-61-62-71-89-91-106-111-117||12-18-25-28-41-47-62-63-70-87-91-106-110-118
ghisaconus,20,bsdr,5.23,0.7414985590778098,0.6391393144727558,5-11-18-25-28-39-44-47-61-62-72-83-89-91-106-111-118-126||12-18-25-28-39-44-47-61-62-72-81-89-90-91-106-109-117-127||5-11-18-25-28-39-44-47-61-62-72-73-82-88-90-91-105-108-117-127||5-11-18-25-28-39-45-46-57-62-71-72-84-89-91-106-109-118-126||11-13-18-25-28-39-44-47-59-62-63-71-85-89-91-106-108-118-127||5-11-18-25-28-39-44-47-57-62-71-72-85-89-91-105-107-118-125||5-10-18-25-28-39-44-46-59-62-64-72-84-89-91-92-106-109-118-126||5-11-18-25-28-39-44-47-59-62-71-72-82-90-91-105-109-118-126||5-11-18-25-28-39-44-46-59-62-72-82-89-90-91-105-108-117-125||5-10-18-25-28-39-44-47-61-62-71-72-82-88-91-105-108-119-125
ghisaconus,25,bsdr,5.49,0.7472622478386166,0.6475297709683093,4-11-16-23-28-31-39-40-44-47-61-62-72-73-86-90-91-93-98-105-107-111-117-126||4-11-18-23-28-31-39-40-44-46-61-62-72-77-86-90-92-101-106-110-114-118-126||5-10-18-25-28-31-38-39-44-46-61-62-72-77-86-90-92-100-105-108-111-117-126||5-10-19-23-28-31-38-40-44-47-61-62-72-77-86-89-91-98-106-109-112-117-126||5-10-18-24-28-31-36-39-44-46-61-62-72-77-83-89-91-98-106-109-114-118-126||5-10-18-24-28-31-40-44-46-61-62-71-79-86-90-91-93-101-105-107-111-118-125||4-10-17-25-28-30-37-39-44-47-57-62-71-77-86-89-91-98-107-110-114-118-126||5-10-17-23-28-31-37-39-44-47-58-62-72-77-84-89-91-98-106-108-111-118-125||4-11-17-24-28-31-39-40-44-46-62-72-77-86-89-91-92-99-105-107-110-117-125||5-11-18-24-28-31-39-40-44-46-61-62-71-77-84-89-91-98-106-107-114-118-126
ghisaconus,30,bsdr,5.79,0.7412103746397694,0.6391247444773045,5-11-15-18-19-25-28-35-39-44-46-47-56-61-62-72-77-81-87-90-91-93-98-105-110-117-120-123-126||5-11-15-18-20-25-28-37-39-45-47-61-62-72-77-82-85-90-93-99-105-108-117-120-123-126||5-11-15-18-19-25-28-39-40-44-47-61-62-72-77-82-86-90-91-92-99-105-107-117-120-124-127||5-10-15-18-19-25-28-37-40-45-47-59-62-72-77-82-89-90-91-92-99-106-109-117-120-123-127||5-10-15-19-25-28-39-41-44-46-47-56-62-66-72-77-82-85-90-91-92-98-106-108-117-120-123-126||5-11-14-18-25-28-35-39-45-46-47-59-62-72-77-82-88-90-91-92-100-105-108-117-120-123-126||5-11-15-18-19-25-28-39-40-45-47-59-62-72-77-82-88-90-91-92-99-104-108-117-120-123-126||5-10-15-18-19-25-28-35-39-44-46-47-61-62-72-73-76-82-86-89-91-92-98-106-108-117-120-123-126||4-11-15-19-25-28-39-40-44-46-47-59-62-72-77-82-88-90-92-98-105-108-117-120-123-126||5-11-16-18-19-25-28-39-40-45-47-57-62-72-77-82-83-90-91-99-105-107-117-120-123-126
indian_pines,5,bsdr,6.64,0.715146046539961,0.6742762736891303,30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163
indian_pines,10,bsdr,6.97,0.7362070540935672,0.6991523439278464,19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||18-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-181||19-37-55-74-92-108-129-149-160-182||19-37-55-74-92-108-128-149-160-181
indian_pines,15,bsdr,7.42,0.7440043250487329,0.7082350437892707,11-27-36-51-60-78-86-101-111-126-140-149-160-172-184||11-27-36-51-60-78-86-101-111-127-140-149-160-173-184||12-27-36-51-60-78-86-101-111-127-140-148-160-173-184||11-27-36-51-60-78-86-101-111-127-139-149-160-173-184||12-27-36-51-60-78-86-101-110-126-140-149-160-173-184||12-27-37-51-61-74-86-101-111-126-140-148-160-173-184||11-27-36-51-60-78-86-101-111-127-140-149-160-172-184||12-27-36-51-60-78-86-101-111-127-139-149-160-172-184||11-27-36-51-60-78-86-101-111-127-139-149-160-173-184||12-27-36-51-60-78-86-101-111-127-139-148-160-172-184
indian_pines,20,bsdr,7.8,0.7457708942495127,0.7100977879097711,8-22-27-36-46-55-63-77-85-92-106-110-126-129-140-149-160-168-179-186||8-21-28-36-47-56-63-77-86-92-106-109-127-129-140-149-160-168-178-186||8-21-27-36-46-55-63-77-85-99-106-110-127-134-140-148-160-166-178-186||8-21-28-36-47-55-63-77-85-99-106-109-127-130-140-149-160-168-178-187||10-23-28-36-46-55-63-78-86-92-106-110-126-127-140-149-160-168-178-184||8-21-28-36-47-55-63-77-86-97-106-110-128-134-140-149-160-168-178-186||10-21-28-36-47-55-63-77-85-92-106-110-126-128-140-149-160-168-178-186||10-22-27-36-47-56-63-77-85-92-106-110-127-134-140-149-160-168-178-186||10-22-27-36-49-56-63-77-85-99-106-110-127-134-140-149-160-168-178-186||8-21-28-35-47-55-63-78-85-92-106-109-127-136-140-149-160-168-178-186
