dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,bsdr,2.7,0.6582132564841499,0.5228854347061865,19-49-71-91-108||19-42-62-90-109||19-43-62-91-108||19-42-62-90-108||19-43-62-90-108||19-43-62-90-108||19-42-62-90-108||19-43-62-90-109||19-42-62-90-109||19-42-62-90-108
ghisaconus,10,bsdr,2.6,0.6855907780979826,0.5605490493574993,18-23-38-47-58-77-89-91-106-117||18-23-37-47-58-77-90-91-108-117||18-23-38-47-58-77-90-91-107-117||18-23-37-47-58-77-90-92-108-117||19-23-38-47-58-77-89-91-107-117||18-23-37-47-58-77-89-91-107-117||18-23-37-47-58-77-90-91-107-117||18-23-37-47-58-77-89-91-107-117||19-23-37-47-58-77-90-91-107-117||17-23-34-47-58-77-89-91-107-117
ghisaconus,15,bsdr,2.59,0.7155619596541787,0.6024053356506389,12-18-25-28-44-47-62-71-89-91-106-110-117||12-18-25-28-44-47-62-70-86-90-91-107-115-118||12-16-25-28-32-46-62-70-86-90-91-107-115-118||12-18-25-28-44-47-62-70-89-91-107-110-118||12-18-25-28-44-47-62-64-71-89-90-91-106-111-118||12-16-25-28-32-45-62-71-89-91-106-110-117||12-16-25-28-33-45-62-63-70-86-89-91-107-117-120||12-16-25-28-40-47-62-63-71-89-91-106-111-118||12-16-25-28-44-47-62-71-89-91-106-110-117||12-18-25-28-43-47-62-70-87-91-106-110-118
ghisaconus,20,bsdr,2.62,0.7377521613832851,0.6339202130289354,5-11-18-25-28-39-44-47-61-62-72-83-89-91-106-111-118-126||12-18-25-28-39-44-47-61-62-71-72-81-89-90-91-106-109-117-126||5-11-18-25-28-39-44-47-61-62-72-84-89-90-91-105-108-117-126||6-11-18-25-28-39-45-46-57-62-70-72-84-89-91-106-109-118-126||11-13-18-25-28-39-44-46-59-62-71-84-89-91-106-108-118-127||5-11-18-25-28-39-44-46-57-62-70-72-86-89-91-105-107-118-125||5-11-18-25-28-39-44-46-59-62-63-72-84-89-91-106-108-118-126||7-12-18-25-28-39-44-47-59-62-71-72-81-89-91-105-108-118-126||6-12-18-25-28-39-44-46-59-62-71-72-81-89-90-91-104-108-118-125||4-11-18-25-28-39-44-47-61-62-71-72-82-88-91-105-108-119-126
ghisaconus,25,bsdr,2.67,0.7452449567723344,0.6447454675896351,4-10-17-22-28-31-39-40-44-47-61-62-72-74-86-89-91-98-105-107-111-117-125||4-11-18-23-28-31-39-40-44-46-61-62-72-77-86-89-90-91-101-106-110-113-118-126||4-10-18-25-28-31-38-39-44-46-61-62-72-77-86-89-91-100-105-108-111-117-126||4-10-19-28-31-39-40-45-47-61-62-72-77-86-89-91-98-106-109-112-118-125||4-10-18-21-28-31-38-40-44-46-61-62-72-77-84-89-91-98-106-109-114-118-125||4-10-18-22-28-31-39-40-44-46-61-62-71-78-86-90-91-92-101-105-107-110-118-125||4-10-18-25-28-29-39-40-44-47-59-62-71-77-86-89-91-98-107-110-114-118-125||4-10-18-23-28-31-38-39-44-46-59-62-72-77-84-89-91-98-105-108-111-117-125||4-10-18-22-28-31-39-40-44-46-61-62-72-77-86-89-91-99-104-107-110-117-125||4-10-18-23-28-31-39-40-44-46-61-62-71-77-84-88-91-98-105-107-114-118-126
ghisaconus,30,bsdr,2.78,0.7397694524495677,0.6368154966900621,4-11-15-18-19-25-28-35-39-45-46-47-56-61-62-72-77-82-84-90-91-93-98-105-110-117-120-123-126||4-11-16-18-19-25-28-39-40-45-47-61-62-72-76-82-85-90-92-99-105-108-117-120-123-126||4-11-15-18-19-25-28-39-41-45-47-61-62-72-77-82-87-90-92-99-105-108-117-120-123-126||5-11-15-18-19-25-28-39-41-45-47-59-62-72-77-82-88-90-92-99-106-109-117-120-123-126||5-11-15-18-19-25-28-39-41-45-46-47-57-62-66-72-77-82-85-90-92-98-106-108-117-120-123-126||5-11-14-18-25-28-35-39-45-46-47-59-62-63-72-77-82-88-90-92-101-105-108-117-120-123-126||5-11-16-18-19-25-28-39-40-45-47-59-62-72-77-83-88-90-91-92-99-104-108-117-120-123-126||5-11-15-18-19-25-28-37-39-45-46-47-62-72-76-82-86-89-91-98-105-108-117-120-123-125||4-11-16-19-25-28-39-40-45-46-47-59-62-72-77-82-87-90-91-98-104-108-117-120-123-126||5-11-16-18-19-25-28-39-40-45-47-59-62-72-77-82-90-91-99-105-107-117-120-123-126
indian_pines,5,bsdr,3.14,0.715146046539961,0.6742762736891303,30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163
indian_pines,10,bsdr,3.34,0.7356222587719298,0.698421965625405,19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-181||19-37-55-74-92-108-129-149-160-182||19-37-55-74-92-108-128-149-160-181
indian_pines,15,bsdr,3.75,0.7463374147173488,0.7107650199834502,11-27-36-51-60-78-86-101-111-126-140-149-160-172-184||11-27-36-51-60-78-86-101-111-127-140-149-160-173-184||11-27-36-51-61-78-86-101-111-127-140-148-160-173-184||11-27-36-51-61-78-86-101-111-127-139-149-160-173-184||11-27-36-51-60-78-86-101-110-126-140-149-160-173-184||11-27-37-51-61-74-86-101-111-126-140-148-160-173-184||11-27-36-51-60-78-86-101-111-127-140-149-160-172-184||12-27-36-51-60-78-86-101-111-127-140-149-160-172-184||11-27-36-51-60-78-86-101-111-127-139-149-160-173-184||11-27-36-51-60-78-86-101-111-127-140-148-160-172-184
indian_pines,20,bsdr,3.93,0.7483050073099415,0.7130915055500793,8-22-27-36-46-55-63-77-85-92-106-110-126-129-140-149-160-168-179-186||8-21-28-36-47-55-63-77-86-92-106-109-128-129-140-149-160-168-178-186||8-21-27-36-46-55-63-77-85-99-106-110-127-135-140-148-160-166-178-186||8-21-28-36-47-55-63-77-85-99-106-109-127-131-140-149-160-168-178-186||10-23-28-36-46-55-63-78-86-92-106-110-126-128-140-149-160-168-178-184||8-22-28-36-47-55-63-77-86-97-106-110-128-134-140-149-160-168-178-186||10-21-28-36-47-55-63-77-85-92-106-110-126-128-140-149-160-168-178-186||10-22-27-36-47-56-63-77-85-92-106-110-127-134-140-149-160-168-178-186||10-22-27-36-49-56-63-77-85-99-106-110-127-134-140-149-160-168-178-186||8-21-28-35-47-55-63-78-85-92-106-109-127-136-140-149-160-168-178-186
